[0801/184128:ERROR:ipc_channel_win.cc(519)] pipe error: 232
[0801/184746:ERROR:ipc_channel_win.cc(519)] pipe error: 232
[0801/232818:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/232821:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233516:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233519:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233521:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233524:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233526:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233529:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233531:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233534:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233536:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233539:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233541:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233544:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233546:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233549:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233551:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233554:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233558:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233559:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0801/233606:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
